AGE,WORKCLASS,FNLWGT,EDUCATION,EDUCATION-NUM,MARITAL-STATUS,OCCUPATION,OCCUPATION-NUM,RELATIONSHIP,RACE,SEX,HOURS-PER-WEEK,NATIVE-COUNTRY,SALARY
45,PRIVATE,386940,BACHELORS,13,DIVORCED,EXEC-MANAGERIAL,4,OWN-CHILD,WHITE,MALE,40,UNITED-STATES, <=50K
30,FEDERAL-GOV,59951,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,ADM-CLERICAL,1,OWN-CHILD,WHITE,MALE,40,UNITED-STATES, <=50K
22,STATE-GOV,311512,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,OTHER-SERVICE,8,HUSBAND,BLACK,MALE,15,UNITED-STATES, <=50K
48,PRIVATE,242406,11TH,7,NEVER-MARRIED,MACHINE-OP-INSPCT,7,UNMARRIED,WHITE,MALE,40,PUERTO-RICO, <=50K
21,PRIVATE,197200,SOME-COLLEGE,10,NEVER-MARRIED,MACHINE-OP-INSPCT,7,OWN-CHILD,WHITE,MALE,40,UNITED-STATES, <=50K
19,PRIVATE,544091,HS-GRAD,9,MARRIED-AF-SPOUSE,ADM-CLERICAL,1,WIFE,WHITE,FEMALE,25,UNITED-STATES, <=50K
48,SELF-EMP-NOT-INC,265477,ASSOC-ACDM,12,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
31,PRIVATE,507875,9TH,5,MARRIED-CIV-SPOUSE,MACHINE-OP-INSPCT,7,HUSBAND,WHITE,MALE,43,UNITED-STATES, <=50K
53,SELF-EMP-NOT-INC,88506,BACHELORS,13,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
24,PRIVATE,172987,BACHELORS,13,MARRIED-CIV-SPOUSE,TECH-SUPPORT,13,HUSBAND,WHITE,MALE,50,UNITED-STATES, <=50K
49,PRIVATE,94638,HS-GRAD,9,SEPARATED,ADM-CLERICAL,1,UNMARRIED,WHITE,FEMALE,40,UNITED-STATES, <=50K
25,PRIVATE,289980,HS-GRAD,9,NEVER-MARRIED,HANDLERS-CLEANERS,6,NOT-IN-FAMILY,WHITE,MALE,35,UNITED-STATES, <=50K
57,FEDERAL-GOV,337895,BACHELORS,13,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,BLACK,MALE,40,UNITED-STATES, >50K
53,PRIVATE,144361,HS-GRAD,9,MARRIED-CIV-SPOUSE,MACHINE-OP-INSPCT,7,HUSBAND,WHITE,MALE,38,UNITED-STATES, <=50K
44,PRIVATE,128354,MASTERS,14,DIVORCED,EXEC-MANAGERIAL,4,UNMARRIED,WHITE,FEMALE,40,UNITED-STATES, <=50K
41,STATE-GOV,101603,ASSOC-VOC,11,MARRIED-CIV-SPOUSE,CRAFT-REPAIR,3,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
29,PRIVATE,271466,ASSOC-VOC,11,NEVER-MARRIED,PROF-SPECIALTY,10,NOT-IN-FAMILY,WHITE,MALE,43,UNITED-STATES, <=50K
25,PRIVATE,32275,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,EXEC-MANAGERIAL,4,WIFE,OTHER,FEMALE,40,UNITED-STATES, <=50K
47,PRIVATE,51835,PROF-SCHOOL,15,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,WIFE,WHITE,FEMALE,60,HONDURAS, >50K
50,FEDERAL-GOV,251585,BACHELORS,13,DIVORCED,EXEC-MANAGERIAL,4,NOT-IN-FAMILY,WHITE,MALE,55,UNITED-STATES, >50K
47,SELF-EMP-INC,109832,HS-GRAD,9,DIVORCED,EXEC-MANAGERIAL,4,NOT-IN-FAMILY,WHITE,MALE,60,UNITED-STATES, <=50K
43,PRIVATE,237993,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,TECH-SUPPORT,13,HUSBAND,WHITE,MALE,40,UNITED-STATES, >50K
46,PRIVATE,216666,5TH-6TH,3,MARRIED-CIV-SPOUSE,MACHINE-OP-INSPCT,7,HUSBAND,WHITE,MALE,40,MEXICO, <=50K
35,PRIVATE,56352,ASSOC-VOC,11,MARRIED-CIV-SPOUSE,OTHER-SERVICE,8,HUSBAND,WHITE,MALE,40,PUERTO-RICO, <=50K
41,PRIVATE,147372,HS-GRAD,9,MARRIED-CIV-SPOUSE,ADM-CLERICAL,1,HUSBAND,WHITE,MALE,48,UNITED-STATES, <=50K
30,PRIVATE,188146,HS-GRAD,9,MARRIED-CIV-SPOUSE,MACHINE-OP-INSPCT,7,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
30,PRIVATE,59496,BACHELORS,13,MARRIED-CIV-SPOUSE,SALES,12,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
48,PRIVATE,149640,HS-GRAD,9,MARRIED-CIV-SPOUSE,TRANSPORT-MOVING,14,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
42,PRIVATE,116632,DOCTORATE,16,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,WHITE,MALE,45,UNITED-STATES, >50K
29,PRIVATE,105598,SOME-COLLEGE,10,DIVORCED,TECH-SUPPORT,13,NOT-IN-FAMILY,WHITE,MALE,58,UNITED-STATES, <=50K
36,PRIVATE,155537,HS-GRAD,9,MARRIED-CIV-SPOUSE,CRAFT-REPAIR,3,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
28,PRIVATE,183175,SOME-COLLEGE,10,DIVORCED,ADM-CLERICAL,1,NOT-IN-FAMILY,WHITE,FEMALE,40,UNITED-STATES, <=50K
53,PRIVATE,169846,HS-GRAD,9,MARRIED-CIV-SPOUSE,ADM-CLERICAL,1,WIFE,WHITE,FEMALE,40,UNITED-STATES, >50K
49,SELF-EMP-INC,191681,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,EXEC-MANAGERIAL,4,HUSBAND,WHITE,MALE,50,UNITED-STATES, >50K
19,PRIVATE,101509,SOME-COLLEGE,10,NEVER-MARRIED,PROF-SPECIALTY,10,OWN-CHILD,WHITE,MALE,32,UNITED-STATES, <=50K
31,PRIVATE,309974,BACHELORS,13,SEPARATED,SALES,12,OWN-CHILD,BLACK,FEMALE,40,UNITED-STATES, <=50K
29,SELF-EMP-NOT-INC,162298,BACHELORS,13,MARRIED-CIV-SPOUSE,SALES,12,HUSBAND,WHITE,MALE,70,UNITED-STATES, >50K
23,PRIVATE,211678,SOME-COLLEGE,10,NEVER-MARRIED,MACHINE-OP-INSPCT,7,NOT-IN-FAMILY,WHITE,MALE,40,UNITED-STATES, <=50K
79,PRIVATE,124744,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,OTHER-RELATIVE,WHITE,MALE,20,UNITED-STATES, <=50K
27,PRIVATE,213921,HS-GRAD,9,NEVER-MARRIED,OTHER-SERVICE,8,OWN-CHILD,WHITE,MALE,40,MEXICO, <=50K
40,PRIVATE,32214,ASSOC-ACDM,12,MARRIED-CIV-SPOUSE,ADM-CLERICAL,1,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
18,PRIVATE,309634,11TH,7,NEVER-MARRIED,OTHER-SERVICE,8,OWN-CHILD,WHITE,FEMALE,22,UNITED-STATES, <=50K
31,LOCAL-GOV,125927,7TH-8TH,4,MARRIED-CIV-SPOUSE,FARMING-FISHING,5,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
18,PRIVATE,446839,HS-GRAD,9,NEVER-MARRIED,SALES,12,NOT-IN-FAMILY,WHITE,MALE,30,UNITED-STATES, <=50K
52,PRIVATE,276515,BACHELORS,13,MARRIED-CIV-SPOUSE,OTHER-SERVICE,8,HUSBAND,WHITE,MALE,40,CUBA, <=50K
46,PRIVATE,51618,HS-GRAD,9,MARRIED-CIV-SPOUSE,OTHER-SERVICE,8,WIFE,WHITE,FEMALE,40,UNITED-STATES, <=50K
59,PRIVATE,159937,HS-GRAD,9,MARRIED-CIV-SPOUSE,SALES,12,HUSBAND,WHITE,MALE,48,UNITED-STATES, <=50K
44,PRIVATE,343591,HS-GRAD,9,DIVORCED,CRAFT-REPAIR,3,NOT-IN-FAMILY,WHITE,FEMALE,40,UNITED-STATES, >50K
53,PRIVATE,346253,HS-GRAD,9,DIVORCED,SALES,12,OWN-CHILD,WHITE,FEMALE,35,UNITED-STATES, <=50K
49,LOCAL-GOV,268234,HS-GRAD,9,MARRIED-CIV-SPOUSE,PROTECTIVE-SERV,11,HUSBAND,WHITE,MALE,40,UNITED-STATES, >50K
33,PRIVATE,202051,MASTERS,14,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,WHITE,MALE,50,UNITED-STATES, <=50K
30,PRIVATE,54334,9TH,5,NEVER-MARRIED,SALES,12,NOT-IN-FAMILY,WHITE,MALE,40,UNITED-STATES, <=50K
43,FEDERAL-GOV,410867,DOCTORATE,16,NEVER-MARRIED,PROF-SPECIALTY,10,NOT-IN-FAMILY,WHITE,FEMALE,50,UNITED-STATES, >50K
57,PRIVATE,249977,ASSOC-VOC,11,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
37,PRIVATE,286730,SOME-COLLEGE,10,DIVORCED,CRAFT-REPAIR,3,UNMARRIED,WHITE,FEMALE,40,UNITED-STATES, <=50K
28,PRIVATE,212563,SOME-COLLEGE,10,DIVORCED,MACHINE-OP-INSPCT,7,UNMARRIED,BLACK,FEMALE,25,UNITED-STATES, <=50K
34,LOCAL-GOV,226296,BACHELORS,13,MARRIED-CIV-SPOUSE,PROTECTIVE-SERV,11,HUSBAND,WHITE,MALE,40,UNITED-STATES, >50K
29,LOCAL-GOV,115585,SOME-COLLEGE,10,NEVER-MARRIED,HANDLERS-CLEANERS,6,NOT-IN-FAMILY,WHITE,MALE,50,UNITED-STATES, <=50K
48,SELF-EMP-NOT-INC,191277,DOCTORATE,16,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,WHITE,MALE,60,UNITED-STATES, >50K
37,PRIVATE,202683,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,SALES,12,HUSBAND,WHITE,MALE,48,UNITED-STATES, >50K
48,PRIVATE,171095,ASSOC-ACDM,12,DIVORCED,EXEC-MANAGERIAL,4,UNMARRIED,WHITE,FEMALE,40,ENGLAND, <=50K
32,FEDERAL-GOV,249409,HS-GRAD,9,NEVER-MARRIED,OTHER-SERVICE,8,OWN-CHILD,BLACK,MALE,40,UNITED-STATES, <=50K
76,PRIVATE,124191,MASTERS,14,MARRIED-CIV-SPOUSE,EXEC-MANAGERIAL,4,HUSBAND,WHITE,MALE,40,UNITED-STATES, >50K
44,PRIVATE,198282,BACHELORS,13,MARRIED-CIV-SPOUSE,EXEC-MANAGERIAL,4,HUSBAND,WHITE,MALE,60,UNITED-STATES, >50K
47,SELF-EMP-NOT-INC,149116,MASTERS,14,NEVER-MARRIED,PROF-SPECIALTY,10,NOT-IN-FAMILY,WHITE,FEMALE,50,UNITED-STATES, <=50K
20,PRIVATE,188300,SOME-COLLEGE,10,NEVER-MARRIED,TECH-SUPPORT,13,OWN-CHILD,WHITE,FEMALE,40,UNITED-STATES, <=50K
29,PRIVATE,103432,HS-GRAD,9,NEVER-MARRIED,CRAFT-REPAIR,3,NOT-IN-FAMILY,WHITE,MALE,40,UNITED-STATES, <=50K
32,SELF-EMP-INC,317660,HS-GRAD,9,MARRIED-CIV-SPOUSE,CRAFT-REPAIR,3,HUSBAND,WHITE,MALE,40,UNITED-STATES, >50K
30,PRIVATE,194901,11TH,7,NEVER-MARRIED,HANDLERS-CLEANERS,6,OWN-CHILD,WHITE,MALE,40,UNITED-STATES, <=50K
31,LOCAL-GOV,189265,HS-GRAD,9,NEVER-MARRIED,ADM-CLERICAL,1,NOT-IN-FAMILY,WHITE,FEMALE,40,UNITED-STATES, <=50K
42,PRIVATE,124692,HS-GRAD,9,MARRIED-CIV-SPOUSE,HANDLERS-CLEANERS,6,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
24,PRIVATE,432376,BACHELORS,13,NEVER-MARRIED,SALES,12,OTHER-RELATIVE,WHITE,MALE,40,UNITED-STATES, <=50K
38,PRIVATE,65324,PROF-SCHOOL,15,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,WHITE,MALE,40,UNITED-STATES, >50K
56,SELF-EMP-NOT-INC,335605,HS-GRAD,9,MARRIED-CIV-SPOUSE,OTHER-SERVICE,8,HUSBAND,WHITE,MALE,50,CANADA, >50K
28,PRIVATE,377869,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,SALES,12,WIFE,WHITE,FEMALE,25,UNITED-STATES, <=50K
36,PRIVATE,102864,HS-GRAD,9,NEVER-MARRIED,MACHINE-OP-INSPCT,7,OWN-CHILD,WHITE,FEMALE,40,UNITED-STATES, <=50K
53,PRIVATE,95647,9TH,5,MARRIED-CIV-SPOUSE,HANDLERS-CLEANERS,6,HUSBAND,WHITE,MALE,50,UNITED-STATES, <=50K
56,SELF-EMP-INC,303090,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,SALES,12,HUSBAND,WHITE,MALE,50,UNITED-STATES, <=50K
49,LOCAL-GOV,197371,ASSOC-VOC,11,MARRIED-CIV-SPOUSE,CRAFT-REPAIR,3,HUSBAND,BLACK,MALE,40,UNITED-STATES, >50K
55,PRIVATE,247552,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,SALES,12,HUSBAND,WHITE,MALE,56,UNITED-STATES, <=50K
22,PRIVATE,102632,HS-GRAD,9,NEVER-MARRIED,CRAFT-REPAIR,3,NOT-IN-FAMILY,WHITE,MALE,41,UNITED-STATES, <=50K
21,PRIVATE,199915,SOME-COLLEGE,10,NEVER-MARRIED,OTHER-SERVICE,8,OWN-CHILD,WHITE,FEMALE,40,UNITED-STATES, <=50K
40,PRIVATE,118853,BACHELORS,13,MARRIED-CIV-SPOUSE,EXEC-MANAGERIAL,4,HUSBAND,WHITE,MALE,60,UNITED-STATES, <=50K
30,PRIVATE,77143,BACHELORS,13,NEVER-MARRIED,EXEC-MANAGERIAL,4,OWN-CHILD,BLACK,MALE,40,GERMANY, <=50K
29,STATE-GOV,267989,BACHELORS,13,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,WHITE,MALE,50,UNITED-STATES, >50K
19,PRIVATE,301606,SOME-COLLEGE,10,NEVER-MARRIED,OTHER-SERVICE,8,OWN-CHILD,BLACK,MALE,35,UNITED-STATES, <=50K
47,PRIVATE,287828,BACHELORS,13,MARRIED-CIV-SPOUSE,EXEC-MANAGERIAL,4,WIFE,WHITE,FEMALE,40,UNITED-STATES, >50K
20,PRIVATE,111697,SOME-COLLEGE,10,NEVER-MARRIED,ADM-CLERICAL,1,OWN-CHILD,WHITE,FEMALE,28,UNITED-STATES, <=50K
31,PRIVATE,114937,ASSOC-ACDM,12,MARRIED-CIV-SPOUSE,ADM-CLERICAL,1,HUSBAND,WHITE,MALE,40,UNITED-STATES, >50K
39,PRIVATE,365739,SOME-COLLEGE,10,DIVORCED,CRAFT-REPAIR,3,NOT-IN-FAMILY,WHITE,MALE,40,UNITED-STATES, <=50K
28,PRIVATE,69621,ASSOC-ACDM,12,NEVER-MARRIED,SALES,12,NOT-IN-FAMILY,WHITE,FEMALE,60,UNITED-STATES, <=50K
24,PRIVATE,43323,HS-GRAD,9,NEVER-MARRIED,OTHER-SERVICE,8,NOT-IN-FAMILY,WHITE,FEMALE,40,UNITED-STATES, <=50K
38,SELF-EMP-NOT-INC,120985,HS-GRAD,9,MARRIED-CIV-SPOUSE,CRAFT-REPAIR,3,HUSBAND,WHITE,MALE,35,UNITED-STATES, <=50K
37,PRIVATE,254202,BACHELORS,13,MARRIED-CIV-SPOUSE,SALES,12,HUSBAND,WHITE,MALE,50,UNITED-STATES, <=50K
46,PRIVATE,146195,ASSOC-ACDM,12,DIVORCED,TECH-SUPPORT,13,NOT-IN-FAMILY,BLACK,FEMALE,36,UNITED-STATES, <=50K
38,FEDERAL-GOV,125933,MASTERS,14,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,WHITE,MALE,40,IRAN, >50K
43,SELF-EMP-NOT-INC,56920,HS-GRAD,9,MARRIED-CIV-SPOUSE,CRAFT-REPAIR,3,HUSBAND,WHITE,MALE,60,UNITED-STATES, <=50K
27,PRIVATE,163127,ASSOC-VOC,11,MARRIED-CIV-SPOUSE,ADM-CLERICAL,1,WIFE,WHITE,FEMALE,35,UNITED-STATES, <=50K
20,PRIVATE,34310,SOME-COLLEGE,10,NEVER-MARRIED,SALES,12,OWN-CHILD,WHITE,MALE,20,UNITED-STATES, <=50K
49,PRIVATE,81973,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,CRAFT-REPAIR,3,HUSBAND,ASIAN-PAC-ISLANDER,MALE,40,UNITED-STATES, >50K
61,SELF-EMP-INC,66614,HS-GRAD,9,MARRIED-CIV-SPOUSE,CRAFT-REPAIR,3,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
27,PRIVATE,232782,SOME-COLLEGE,10,NEVER-MARRIED,SALES,12,OWN-CHILD,WHITE,FEMALE,40,UNITED-STATES, <=50K
19,PRIVATE,316868,SOME-COLLEGE,10,NEVER-MARRIED,OTHER-SERVICE,8,OWN-CHILD,WHITE,MALE,30,MEXICO, <=50K
45,PRIVATE,196584,ASSOC-VOC,11,NEVER-MARRIED,PROF-SPECIALTY,10,NOT-IN-FAMILY,WHITE,FEMALE,40,UNITED-STATES, >50K
70,PRIVATE,105376,SOME-COLLEGE,10,NEVER-MARRIED,TECH-SUPPORT,13,OTHER-RELATIVE,WHITE,MALE,40,UNITED-STATES, <=50K
31,PRIVATE,185814,HS-GRAD,9,NEVER-MARRIED,TRANSPORT-MOVING,14,UNMARRIED,BLACK,FEMALE,30,UNITED-STATES, <=50K
22,PRIVATE,175374,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,OTHER-SERVICE,8,HUSBAND,WHITE,MALE,24,UNITED-STATES, <=50K
36,PRIVATE,108293,HS-GRAD,9,WIDOWED,OTHER-SERVICE,8,UNMARRIED,WHITE,FEMALE,24,UNITED-STATES, <=50K
64,PRIVATE,181232,11TH,7,MARRIED-CIV-SPOUSE,CRAFT-REPAIR,3,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
47,LOCAL-GOV,186009,SOME-COLLEGE,10,DIVORCED,ADM-CLERICAL,1,UNMARRIED,WHITE,FEMALE,38,MEXICO, <=50K
34,PRIVATE,198183,HS-GRAD,9,NEVER-MARRIED,ADM-CLERICAL,1,NOT-IN-FAMILY,WHITE,FEMALE,40,UNITED-STATES, <=50K
33,PRIVATE,163003,BACHELORS,13,NEVER-MARRIED,EXEC-MANAGERIAL,4,OTHER-RELATIVE,ASIAN-PAC-ISLANDER,FEMALE,40,PHILIPPINES, <=50K
21,PRIVATE,296158,HS-GRAD,9,NEVER-MARRIED,CRAFT-REPAIR,3,OWN-CHILD,WHITE,MALE,35,UNITED-STATES, <=50K
48,PRIVATE,187715,HS-GRAD,9,MARRIED-CIV-SPOUSE,CRAFT-REPAIR,3,HUSBAND,WHITE,MALE,46,UNITED-STATES, <=50K
23,PRIVATE,214542,BACHELORS,13,NEVER-MARRIED,HANDLERS-CLEANERS,6,NOT-IN-FAMILY,WHITE,MALE,40,UNITED-STATES, <=50K
71,SELF-EMP-NOT-INC,494223,SOME-COLLEGE,10,SEPARATED,SALES,12,UNMARRIED,BLACK,MALE,2,UNITED-STATES, <=50K
29,PRIVATE,191535,HS-GRAD,9,DIVORCED,CRAFT-REPAIR,3,NOT-IN-FAMILY,WHITE,MALE,60,UNITED-STATES, <=50K
42,PRIVATE,228456,BACHELORS,13,SEPARATED,OTHER-SERVICE,8,OTHER-RELATIVE,BLACK,MALE,50,UNITED-STATES, <=50K
25,PRIVATE,252752,HS-GRAD,9,NEVER-MARRIED,OTHER-SERVICE,8,UNMARRIED,WHITE,FEMALE,40,UNITED-STATES, <=50K
44,SELF-EMP-INC,78374,MASTERS,14,DIVORCED,EXEC-MANAGERIAL,4,UNMARRIED,ASIAN-PAC-ISLANDER,FEMALE,40,UNITED-STATES, <=50K
28,PRIVATE,88419,HS-GRAD,9,NEVER-MARRIED,EXEC-MANAGERIAL,4,NOT-IN-FAMILY,ASIAN-PAC-ISLANDER,FEMALE,40,ENGLAND, <=50K
45,SELF-EMP-NOT-INC,201080,MASTERS,14,MARRIED-CIV-SPOUSE,SALES,12,HUSBAND,WHITE,MALE,40,UNITED-STATES, >50K
36,PRIVATE,207157,SOME-COLLEGE,10,DIVORCED,OTHER-SERVICE,8,UNMARRIED,WHITE,FEMALE,40,MEXICO, <=50K
39,FEDERAL-GOV,235485,ASSOC-ACDM,12,NEVER-MARRIED,EXEC-MANAGERIAL,4,NOT-IN-FAMILY,WHITE,MALE,42,UNITED-STATES, <=50K
46,STATE-GOV,102628,MASTERS,14,WIDOWED,PROTECTIVE-SERV,11,UNMARRIED,WHITE,MALE,40,UNITED-STATES, <=50K
18,PRIVATE,25828,11TH,7,NEVER-MARRIED,HANDLERS-CLEANERS,6,OWN-CHILD,WHITE,MALE,16,UNITED-STATES, <=50K
66,LOCAL-GOV,54826,ASSOC-VOC,11,WIDOWED,PROF-SPECIALTY,10,NOT-IN-FAMILY,WHITE,FEMALE,20,UNITED-STATES, <=50K
27,PRIVATE,124953,HS-GRAD,9,NEVER-MARRIED,OTHER-SERVICE,8,NOT-IN-FAMILY,WHITE,MALE,40,UNITED-STATES, <=50K
28,STATE-GOV,175325,HS-GRAD,9,MARRIED-CIV-SPOUSE,PROTECTIVE-SERV,11,HUSBAND,WHITE,MALE,40,UNITED-STATES, <=50K
51,PRIVATE,96062,SOME-COLLEGE,10,MARRIED-CIV-SPOUSE,SALES,12,HUSBAND,WHITE,MALE,40,UNITED-STATES, >50K
27,PRIVATE,428030,BACHELORS,13,NEVER-MARRIED,CRAFT-REPAIR,3,NOT-IN-FAMILY,WHITE,MALE,50,UNITED-STATES, <=50K
28,STATE-GOV,149624,BACHELORS,13,MARRIED-CIV-SPOUSE,PROF-SPECIALTY,10,HUSBAND,WHITE,MALE,40,UNITED-STATES, >50K
27,PRIVATE,253814,HS-GRAD,9,MARRIED-SPOUSE-ABSENT,SALES,12,UNMARRIED,WHITE,FEMALE,25,UNITED-STATES, <=50K
